time,lat,lon,ALLSKY_SFC_LW_DWN
2001-01-31,35.5,-84.5,269.94
2001-01-31,35.5,-83.5,259.69
2001-01-31,35.5,-82.5,256.34998
2001-01-31,35.5,-81.5,262.90002
2001-01-31,35.5,-80.5,264.24
2001-01-31,35.5,-79.5,265.53998
2001-01-31,35.5,-78.5,269.69
2001-01-31,35.5,-77.5,272.82
2001-01-31,35.5,-76.5,286.75
2001-01-31,35.5,-75.5,323.52002
2001-01-31,36.5,-84.5,267.87
2001-01-31,36.5,-83.5,267.27002
2001-01-31,36.5,-82.5,266.56
2001-01-31,36.5,-81.5,256.03998
2001-01-31,36.5,-80.5,259.45
2001-01-31,36.5,-79.5,262.34003
2001-01-31,36.5,-78.5,263.7
2001-01-31,36.5,-77.5,266.22998
2001-01-31,36.5,-76.5,272.02002
2001-01-31,36.5,-75.5,306.34003
2001-01-31,37.5,-84.5,267.43
2001-01-31,37.5,-83.5,267.63
2001-01-31,37.5,-82.5,269.45
2001-01-31,37.5,-81.5,267.01
2001-01-31,37.5,-80.5,260.82
2001-01-31,37.5,-79.5,257.59998
2001-01-31,37.5,-78.5,260.24
2001-01-31,37.5,-77.5,262.36
2001-01-31,37.5,-76.5,274.08002
2001-01-31,37.5,-75.5,285.83002
2001-01-31,38.5,-84.5,268.83002
2001-01-31,38.5,-83.5,268.38
2001-01-31,38.5,-82.5,267.22998
2001-01-31,38.5,-81.5,270.03003
2001-01-31,38.5,-80.5,264.53998
2001-01-31,38.5,-79.5,250.90997
2001-01-31,38.5,-78.5,257.78998
2001-01-31,38.5,-77.5,260.24
2001-01-31,38.5,-76.5,269.53003
2001-01-31,38.5,-75.5,270.31
2001-01-31,39.5,-84.5,264.14
2001-01-31,39.5,-83.5,265.3
2001-01-31,39.5,-82.5,267.53003
2001-01-31,39.5,-81.5,266.76
2001-01-31,39.5,-80.5,267.66998
2001-01-31,39.5,-79.5,265.75
2001-01-31,39.5,-78.5,264.65997
2001-01-31,39.5,-77.5,260.39
2001-01-31,39.5,-76.5,260.33002
2001-01-31,39.5,-75.5,262.32
2001-01-31,40.5,-84.5,264.41998
2001-01-31,40.5,-83.5,263.36
2001-01-31,40.5,-82.5,264.8
2001-01-31,40.5,-81.5,266.7
2001-01-31,40.5,-80.5,268.53003
2001-01-31,40.5,-79.5,271.57
2001-01-31,40.5,-78.5,265.34003
2001-01-31,40.5,-77.5,262.05
2001-01-31,40.5,-76.5,261.03998
2001-01-31,40.5,-75.5,257.14
2001-01-31,41.5,-84.5,259.78003
2001-01-31,41.5,-83.5,263.15997
2001-01-31,41.5,-82.5,272.84998
2001-01-31,41.5,-81.5,273.87
2001-01-31,41.5,-80.5,269.31
2001-01-31,41.5,-79.5,268.44
2001-01-31,41.5,-78.5,265.14
2001-01-31,41.5,-77.5,258.39
2001-01-31,41.5,-76.5,259.90997
2001-01-31,41.5,-75.5,258.41998
2001-01-31,42.5,-84.5,257.75
2001-01-31,42.5,-83.5,258.78003
2001-01-31,42.5,-82.5,261.03998
2001-01-31,42.5,-81.5,269.71002
2001-01-31,42.5,-80.5,272.09003
2001-01-31,42.5,-79.5,273.78998
2001-01-31,42.5,-78.5,268.22998
2001-01-31,42.5,-77.5,266.49
2001-01-31,42.5,-76.5,267.59003
2001-01-31,42.5,-75.5,263.45
2001-01-31,43.5,-84.5,256.84003
2001-01-31,43.5,-83.5,256.94
2001-01-31,43.5,-82.5,262.90997
2001-01-31,43.5,-81.5,261.0
2001-01-31,43.5,-80.5,256.71002
2001-01-31,43.5,-79.5,264.18
2001-01-31,43.5,-78.5,271.38
2001-01-31,43.5,-77.5,272.83002
2001-01-31,43.5,-76.5,272.31
2001-01-31,43.5,-75.5,262.01
2001-01-31,44.5,-84.5,248.77002
2001-01-31,44.5,-83.5,255.94
2001-01-31,44.5,-82.5,261.56
2001-01-31,44.5,-81.5,260.90997
2001-01-31,44.5,-80.5,256.36
2001-01-31,44.5,-79.5,252.39001
2001-01-31,44.5,-78.5,249.66998
2001-01-31,44.5,-77.5,250.04999
2001-01-31,44.5,-76.5,253.84003
2001-01-31,44.5,-75.5,255.81
2001-02-28,35.5,-84.5,296.68
2001-02-28,35.5,-83.5,287.25
2001-02-28,35.5,-82.5,282.49
2001-02-28,35.5,-81.5,290.40002
2001-02-28,35.5,-80.5,293.68
2001-02-28,35.5,-79.5,294.86
2001-02-28,35.5,-78.5,295.59998
2001-02-28,35.5,-77.5,297.72998
2001-02-28,35.5,-76.5,308.57
